city,year,population,diff,lat,long,clr
Абаза (город),2018,15335,-1.65,52.65,90.08333333333333,decline
Абакан,2018,184168,1.35,53.7166666666667,91.41666666666667,growh
Абдулино,2018,19222,0,53.6833333333333,53.65,zero
Абинск,2018,38176,1.13,44.8666666666667,38.166666666666664,growh
Агидель,2018,15281,0,55.9,53.93333333333333,zero
Агрыз,2018,19704,0,56.5166666666667,52.983333333333334,zero
Адыгейск,2018,12745,0.35,44.8844444444444,39.18333333333333,growh
Азнакаево,2018,34863,0,54.85,53.06666666666667,zero
Азов,2018,81335,0,47.1,39.416666666666664,zero
Ак-Довурак,2018,13578,0,51.1666666666667,90.6,zero
Аксай (Ростовская область),2018,44828,0,47.2666666666667,39.86666666666667,zero
Алагир,2018,20043,-0.45,43.0416666666667,44.2,decline
Алапаевск,2018,37526,-0.34,57.85,61.7,decline
Алатырь,2018,35298,0,54.85,46.583333333333336,zero
Алдан (город),2018,20700,0,58.6,125.38333333333334,zero
Алейск,2018,28972,0.82,52.5,82.78333333333333,growh
Александров (город),2018,59328,0,56.3936111111111,38.7,zero
Александровск (Пермский край),2018,12841,0,59.1666666666667,57.583333333333336,zero
Александровск-Сахалинский,2018,9504,-0.86,50.9,142.15,decline
"Алексеевка (город, Белгородская область)",2018,38447,0,50.63,38.68333333333333,zero
Алексин,2018,58329,0,54.5,37.06666666666667,zero
Алзамай,2018,6040,0,55.55,98.66666666666667,zero
Альметьевск,2018,154262,0,54.9,52.3,zero
Амурск,2018,39431,-1.68,50.2166666666667,136.9,decline
Анадырь,2018,15604,0.88,64.7333333333333,177.51666666666668,growh
Анапа,2018,75865,0.65,44.8944444444444,37.31666666666667,growh
Ангарск,2018,226374,0,52.5666666666667,103.91666666666667,zero
Андреаполь,2018,7259,0,56.65,32.266666666666666,zero
Анжеро-Судженск,2018,71787,0,56.0833333333333,86.03333333333333,zero
Анива (город),2018,9445,0.16,46.7166666666667,142.51666666666668,growh
Апатиты,2018,55713,-1.14,67.5675,33.38333333333333,decline
Апрелевка,2018,27860,4.7,55.5333333333333,37.05,growh
Апшеронск,2018,40016,-0.55,44.4608333333333,39.733333333333334,decline
Арамиль,2018,15162,0,56.7,60.833333333333336,zero
Аргун (город),2018,37373,2.43,43.2944444444444,45.88333333333333,growh
Ардатов (Мордовия),2018,8734,0,54.85,46.233333333333334,zero
Ардон (город),2018,19412,0.21,43.1727777777778,44.28333333333333,growh
Арзамас,2018,104547,0,55.3833333333333,43.8,zero
Аркадак,2018,11986,0,51.9333333333333,43.5,zero
Армавир (Россия),2018,190709,-0.08,45,41.11666666666667,decline
Армянск,2018,21754,-0.92,46.1069444444444,33.68333333333333,decline
Арсеньев (город),2018,52471,-0.56,44.1666666666667,133.26666666666668,decline
Арск,2018,20419,0,56.0905555555556,49.86666666666667,zero
Артём (город),2018,106692,-0.04,43.35,132.18333333333334,decline
Артёмовск (Россия),2018,1705,0,54.35,93.43333333333334,zero
Артёмовский,2018,30778,-0.5,57.3363888888889,61.88333333333333,decline
Архангельск,2018,349742,-0.5,64.55,40.53333333333333,decline
Асбест (город),2018,64091,-0.89,57.0102777777778,61.45,decline
Асино,2018,24351,-0.77,57,86.15,decline
Астрахань,2018,533925,0.27,46.3333333333333,48.03333333333333,growh
Аткарск,2018,25384,0,51.8666666666667,45,zero
Ахтубинск,2018,37883,0,48.2833333333333,46.166666666666664,zero
Ачинск,2018,105264,0,56.2666666666667,90.5,zero
Аша,2018,29946,0,55,57.25,zero
Бабаево,2018,11493,0,59.3833333333333,35.95,zero
Бабушкин (Бурятия),2018,4542,0,51.7166666666667,105.86666666666666,zero
Бавлы,2018,22258,0,54.4,53.25,zero
Багратионовск,2018,6409,0,54.3833333333333,20.633333333333333,zero
Байкальск,2018,12738,0,51.5172222222222,104.15,zero
Баймак,2018,17529,0,52.5833333333333,58.31666666666667,zero
Бакал,2018,19590,0,54.9333333333333,58.8,zero
Баксан (город),2018,38192,0.37,43.6833333333333,43.53333333333333,growh
Балабаново,2018,25752,0,55.1833333333333,36.65,zero
Балаково,2018,191260,0,52.0333333333333,47.78333333333333,zero
